Sentence #,Word,Tag,POS
sentence 5,tuổi,O,O
sentence 5,",",O,O
sentence 5,được,O,O
sentence 5,Bộ,B-ORGANIZATION,B-ORGANIZATION
sentence 5,Y_tế,I-ORGANIZATION,I-ORGANIZATION
sentence 5,ghi_nhận,O,O
sentence 5,nhiễm,O,O
sentence 5,nCoV,O,O
sentence 5,hôm,O,O
sentence 5,31/7,B-DATE,B-DATE
sentence 5,.,O,O
sentence 6,Trường_hợp,O,O
sentence 6,bệnh_nhân,O,O
sentence 6,188,B-PATIENT_ID,B-PATIENT_ID
sentence 6,L.T.H.,B-NAME,B-NAME
sentence 6,",",O,O
sentence 6,theo,O,O
sentence 6,thông_tin,O,O
sentence 6,từ,O,O
sentence 6,cơ_quan,O,O
sentence 6,y_tế,O,O
sentence 6,địa_phương,O,O
sentence 6,",",O,O
sentence 6,bệnh_nhân,O,O
sentence 6,về,O,O
sentence 6,nhà,O,O
sentence 6,ngày,O,O
sentence 6,14,B-DATE,B-DATE
sentence 6,-,I-DATE,I-DATE
sentence 6,4,I-DATE,I-DATE
sentence 6,và,O,O
sentence 6,từ,O,O
sentence 6,đó,O,O
sentence 6,chỉ,O,O
sentence 6,tiếp_xúc,O,O
sentence 6,với,O,O
sentence 6,chồng,O,O
sentence 6,và,O,O
sentence 6,con,O,O
sentence 6,",",O,O
sentence 6,đây,O,O
sentence 6,không,O,O
sentence 6,phải,O,O
sentence 6,là,O,O
sentence 6,tái_nhiễm,O,O
sentence 6,mà,O,O
sentence 6,do,O,O
sentence 6,có_thể,O,O
sentence 6,virus,O,O
sentence 6,yếu,O,O
sentence 6,ở,O,O
sentence 6,thời_điểm,O,O
sentence 6,lấy,O,O
sentence 6,mẫu,O,O
sentence 6,lần,O,O
sentence 6,trước,O,O
sentence 6,",",O,O
sentence 6,hoặc,O,O
sentence 6,vị_trí,O,O
sentence 6,lấy,O,O
sentence 6,mẫu,O,O
sentence 6,",",O,O
sentence 6,thời_điểm,O,O
sentence 6,lấy,O,O
sentence 6,mẫu,O,O
sentence 6,dẫn,O,O
sentence 6,đến,O,O
sentence 6,âm_tính,O,O
sentence 6,giả,O,O
sentence 6,.,O,O
sentence 7,Riêng,O,O
sentence 7,bệnh_nhân,O,O
sentence 7,91,B-PATIENT_ID,B-PATIENT_ID
sentence 7,là,O,O
sentence 7,phi_công,B-JOB,B-JOB
sentence 7,người,O,O
sentence 7,Anh,O,O
sentence 7,ngụ,O,O
sentence 7,ở,O,O
sentence 7,quận,B-LOCATION,B-LOCATION
sentence 7,2,I-LOCATION,I-LOCATION
sentence 7,",",O,O
sentence 7,TP.,B-LOCATION,B-LOCATION
sentence 7,HCM,I-LOCATION,I-LOCATION
sentence 7,và,O,O
sentence 7,có,O,O
sentence 7,liên_quan,O,O
sentence 7,ổ,O,O
sentence 7,dịch,O,O
sentence 7,quán,B-LOCATION,B-LOCATION
sentence 7,bar,I-LOCATION,I-LOCATION
sentence 7,Buddha,I-LOCATION,I-LOCATION
sentence 7,",",O,O
sentence 7,thông_tin,O,O
sentence 7,cập_nhật,O,O
sentence 7,ngày,O,O
sentence 7,10,B-DATE,B-DATE
sentence 7,-,I-DATE,I-DATE
sentence 7,4,I-DATE,I-DATE
sentence 7,cho,O,O
sentence 7,biết,O,O
sentence 7,diễn_biến,O,O
sentence 7,bệnh,O,O
sentence 7,của,O,O
sentence 7,bệnh_nhân,O,O
sentence 7,không,O,O
sentence 7,xấu,O,O
sentence 7,hơn,O,O
sentence 7,nhưng,O,O
sentence 7,cũng,O,O
sentence 7,chưa,O,O
sentence 7,có,O,O
sentence 7,dấu_hiệu,O,O
sentence 7,hồi_phục,O,O
sentence 7,.,O,O
sentence 8,Bệnh_nhân,O,O
sentence 8,đã,O,O
sentence 8,được,O,O
sentence 8,xét_nghiệm,O,O
sentence 8,có,O,O
sentence 8,3,O,O
sentence 8,kết_quả,O,O
sentence 8,âm_tính,O,O
sentence 8,vào,O,O
sentence 8,các,O,O
sentence 8,ngày,O,O
sentence 8,19,B-DATE,B-DATE
sentence 8,",",O,O
sentence 8,21,B-DATE,B-DATE
sentence 8,và,O,O
sentence 8,23,B-DATE,B-DATE
sentence 8,-,I-DATE,I-DATE
sentence 8,8,I-DATE,I-DATE
sentence 8,.,O,O
sentence 9,Bà,O,O
sentence 9,đã,O,O
sentence 9,tiếp_xúc,O,O
sentence 9,với,O,O
sentence 9,người_thân,O,O
sentence 9,xác_định,O,O
sentence 9,mắc,O,O
sentence 9,Covid,O,O
sentence 9,-,O,O
sentence 9,19,O,O
sentence 9,trước,O,O
sentence 9,khi,O,O
sentence 9,về,O,O
sentence 9,Việt_Nam,B-LOCATION,B-LOCATION
sentence 9,.,O,O
sentence 10,Chiều,O,O
sentence 10,22,B-DATE,B-DATE
sentence 10,-,I-DATE,I-DATE
sentence 10,4,I-DATE,I-DATE
sentence 10,",",O,O
sentence 10,bệnh_nhân,O,O
sentence 10,được,O,O
sentence 10,cho,O,O
sentence 10,về,O,O
sentence 10,theo_dõi,O,O
sentence 10,cách_ly,O,O
sentence 10,tại,O,O
sentence 10,nhà,O,O
sentence 10,.,O,O
sentence 11,Hôm_qua,O,O
sentence 11,",",O,O
sentence 11,hai,O,O
sentence 11,bệnh_nhân,O,O
sentence 11,Covid,O,O
sentence 11,-,O,O
sentence 11,19,O,O
sentence 11,cũng,O,O
sentence 11,tử_vong,O,O
sentence 11,",",O,O
sentence 11,có,O,O
sentence 11,bệnh,O,O
sentence 11,nền,O,O
sentence 11,suy,B-SYMPTOM_AND_DISEASE,B-SYMPTOM_AND_DISEASE
sentence 11,thận,I-SYMPTOM_AND_DISEASE,I-SYMPTOM_AND_DISEASE
sentence 11,mạn,I-SYMPTOM_AND_DISEASE,I-SYMPTOM_AND_DISEASE
sentence 11,.,O,O
sentence 12,8h,O,O
sentence 12,ngày,O,O
sentence 12,1,B-DATE,B-DATE
sentence 12,-,I-DATE,I-DATE
sentence 12,8,I-DATE,I-DATE
sentence 12,",",O,O
sentence 12,bệnh_nhân,O,O
sentence 12,861,B-PATIENT_ID,B-PATIENT_ID
sentence 12,chở,O,O
sentence 12,con,O,O
sentence 12,gái,O,O
sentence 12,đến,O,O
sentence 12,khám,O,O
sentence 12,tại,O,O
sentence 12,phòng_khám,B-LOCATION,B-LOCATION
sentence 12,đa_khoa,I-LOCATION,I-LOCATION
sentence 12,của,I-LOCATION,I-LOCATION
sentence 12,bác_sĩ,I-LOCATION,I-LOCATION
sentence 12,Hoàng_Đức_Dũng,I-LOCATION,I-LOCATION
sentence 12,(,O,O
sentence 12,số,O,O
sentence 12,16,B-LOCATION,B-LOCATION
sentence 12,-,I-LOCATION,I-LOCATION
sentence 12,18,I-LOCATION,I-LOCATION
sentence 12,B,I-LOCATION,I-LOCATION
sentence 12,-,I-LOCATION,I-LOCATION
sentence 12,22,I-LOCATION,I-LOCATION
sentence 12,đường,I-LOCATION,I-LOCATION
sentence 12,Lê_Duẩn,I-LOCATION,I-LOCATION
sentence 12,",",O,O
sentence 12,TP,B-LOCATION,B-LOCATION
sentence 12,Đông_Hà,I-LOCATION,I-LOCATION
sentence 12,),O,O
sentence 12,.,O,O
sentence 13,Cả,O,O
sentence 13,hai,O,O
sentence 13,đều,O,O
sentence 13,thuộc,O,O
sentence 13,diện,O,O
sentence 13,xét_nghiệm,O,O
sentence 13,sàng_lọc,O,O
sentence 13,",",O,O
sentence 13,lấy,O,O
sentence 13,mẫu,O,O
sentence 13,bệnh_phẩm,O,O
sentence 13,ngày,O,O
sentence 13,11/4,B-DATE,B-DATE
sentence 13,",",O,O
sentence 13,kết_quả,O,O
sentence 13,dương_tính,O,O
sentence 13,ngày,O,O
sentence 13,13/4,B-DATE,B-DATE
sentence 13,",",O,O
sentence 13,điều_trị,O,O
sentence 13,tại,O,O
sentence 13,Bệnh_viện,B-LOCATION,B-LOCATION
sentence 13,Bệnh,I-LOCATION,I-LOCATION
sentence 13,Nhiệt_đới,I-LOCATION,I-LOCATION
sentence 13,Trung_ương,I-LOCATION,I-LOCATION
sentence 13,cơ_sở,I-LOCATION,I-LOCATION
sentence 13,2,I-LOCATION,I-LOCATION
sentence 13,.,O,O
sentence 14,Tính,O,O
sentence 14,đến,O,O
sentence 14,ngày,O,O
sentence 14,11,B-DATE,B-DATE
sentence 14,-,I-DATE,I-DATE
sentence 14,3,I-DATE,I-DATE
sentence 14,",",O,O
sentence 14,trên,O,O
sentence 14,địa_bàn,O,O
sentence 14,tỉnh,B-LOCATION,B-LOCATION
sentence 14,Quảng_Ninh,I-LOCATION,I-LOCATION
sentence 14,chưa,O,O
sentence 14,phát_hiện,O,O
sentence 14,thêm,O,O
sentence 14,ca,O,O
sentence 14,bệnh,O,O
sentence 14,COVID,O,O
sentence 14,-,O,O
sentence 14,19,O,O
sentence 14,ngoài,O,O
sentence 14,4,O,O
sentence 14,ca,O,O
sentence 14,trước,O,O
sentence 14,đó,O,O
sentence 14,(,O,O
sentence 14,đều,O,O
sentence 14,là,O,O
sentence 14,du_khách,O,O
sentence 14,nước_ngoài,O,O
sentence 14,đi,O,O
sentence 14,cùng,O,O
sentence 14,chuyến,O,O
sentence 14,bay,O,O
sentence 14,VN0054,B-TRANSPORTATION,B-TRANSPORTATION
sentence 14,với,O,O
sentence 14,bệnh_nhân,O,O
sentence 14,thứ,O,O
sentence 14,17,B-PATIENT_ID,B-PATIENT_ID
sentence 14,),O,O
sentence 14,.,O,O
sentence 15,Sở,O,O
sentence 15,GD,O,O
sentence 15,-,O,O
sentence 15,ĐT,O,O
sentence 15,đã,O,O
sentence 15,quán_triệt,O,O
sentence 15,tất_cả,O,O
sentence 15,thí_sinh,O,O
sentence 15,và,O,O
sentence 15,những,O,O
sentence 15,người,O,O
sentence 15,làm,O,O
sentence 15,công_tác,O,O
sentence 15,thi,O,O
sentence 15,sau,O,O
sentence 15,khi,O,O
sentence 15,xét_nghiệm,O,O
sentence 15,thực_hiện,O,O
sentence 15,nghiêm,O,O
sentence 15,giãn,O,O
sentence 15,cách,O,O
sentence 15,xã_hội,O,O
sentence 15,theo,O,O
sentence 15,Chỉ_thị,O,O
sentence 15,16,O,O
sentence 15,",",O,O
sentence 15,chỉ,O,O
sentence 15,di_chuyển,O,O
sentence 15,khi,O,O
sentence 15,theo,O,O
sentence 15,lịch,O,O
sentence 15,thi,O,O
sentence 15,và,O,O
sentence 15,lịch,O,O
sentence 15,làm,O,O
sentence 15,nhiệm_vụ,O,O
sentence 15,của,O,O
sentence 15,kỳ,O,O
sentence 15,thi,O,O
sentence 15,.,O,O
sentence 16,Những,O,O
sentence 16,người,O,O
sentence 16,vào,O,O
sentence 16,trung_tâm,O,O
sentence 16,cách_ly,O,O
sentence 16,được,O,O
sentence 16,xếp,O,O
sentence 16,ở,O,O
sentence 16,chung,O,O
sentence 16,phòng,O,O
sentence 16,một_cách,O,O
sentence 16,ngẫu_nhiên,O,O
sentence 16,.,O,O
sentence 17,Theo,O,O
sentence 17,đó,O,O
sentence 17,",",O,O
sentence 17,bệnh_nhân,O,O
sentence 17,thứ,O,O
sentence 17,17,B-PATIENT_ID,B-PATIENT_ID
sentence 17,có,O,O
sentence 17,2,O,O
sentence 17,lần,O,O
sentence 17,xét_nghiệm,O,O
sentence 17,cho,O,O
sentence 17,kết_quả,O,O
sentence 17,âm_tính,O,O
sentence 17,(,O,O
sentence 17,cùng,O,O
sentence 17,bệnh_nhân,O,O
sentence 17,24,B-PATIENT_ID,B-PATIENT_ID
sentence 17,và,O,O
sentence 17,27,B-PATIENT_ID,B-PATIENT_ID
sentence 17,),O,O
sentence 17,",",O,O
sentence 17,đủ,O,O
sentence 17,tiêu_chuẩn,O,O
sentence 17,xác_định,O,O
sentence 17,khỏi,O,O
sentence 17,bệnh,O,O
sentence 17,.,O,O
sentence 18,Công_tác,O,O
sentence 18,khám,O,O
sentence 18,bệnh,O,O
sentence 18,",",O,O
sentence 18,chẩn_đoán,O,O
sentence 18,",",O,O
sentence 18,điều_trị,O,O
sentence 18,",",O,O
sentence 18,thực_hiện,O,O
sentence 18,thủ_thuật,O,O
sentence 18,",",O,O
sentence 18,phẫu_thuật,O,O
sentence 18,...,O,O
sentence 18,đối_với,O,O
sentence 18,bệnh_nhân,O,O
sentence 18,như,O,O
sentence 18,với,O,O
sentence 18,người,O,O
sentence 18,nghi,O,O
sentence 18,Covid,O,O
sentence 18,-,O,O
sentence 18,19,O,O
sentence 18,đến,O,O
sentence 18,khi,O,O
sentence 18,có,O,O
sentence 18,kết_quả,O,O
sentence 18,xét_nghiệm,O,O
sentence 18,.,O,O
sentence 19,Trung_tâm,O,O
sentence 19,Kiểm_soát,O,O
sentence 19,bệnh_tật,O,O
sentence 19,tỉnh,O,O
sentence 19,lấy,O,O
sentence 19,mẫu,O,O
sentence 19,gửi,O,O
sentence 19,Viện,B-ORGANIZATION,B-ORGANIZATION
sentence 19,Vệ_sinh,I-ORGANIZATION,I-ORGANIZATION
sentence 19,dịch_tễ,I-ORGANIZATION,I-ORGANIZATION
sentence 19,trung_ương,I-ORGANIZATION,I-ORGANIZATION
sentence 19,xét_nghiệm,O,O
sentence 19,.,O,O
sentence 20,Bệnh_nhân,O,O
sentence 20,là,O,O
sentence 20,phi_công,O,O
sentence 20,hãng,O,O
sentence 20,Vietnam_Airlines,B-ORGANIZATION,B-ORGANIZATION
sentence 20,",",O,O
sentence 20,xác_định,O,O
sentence 20,dương_tính,O,O
sentence 20,ngày,O,O
sentence 20,18/3,B-DATE,B-DATE
sentence 20,.,O,O
sentence 21,"""",O,O
sentence 21,Bệnh_nhân,O,O
sentence 21,235,B-PATIENT_ID,B-PATIENT_ID
sentence 21,"""",O,O
sentence 21,",",O,O
sentence 21,nam,B-GENDER,B-GENDER
sentence 21,",",O,O
sentence 21,25,B-AGE,B-AGE
sentence 21,tuổi,O,O
sentence 21,",",O,O
sentence 21,quốc_tịch,O,O
sentence 21,Anh,O,O
sentence 21,",",O,O
sentence 21,ngày,O,O
sentence 21,14/3,B-DATE,B-DATE
sentence 21,đi,O,O
sentence 21,quán,B-LOCATION,B-LOCATION
sentence 21,bar,I-LOCATION,I-LOCATION
sentence 21,Buddha,I-LOCATION,I-LOCATION
sentence 21,.,O,O
sentence 22,Với,O,O
sentence 22,việc,O,O
sentence 22,có,O,O
sentence 22,thêm,O,O
sentence 22,8,O,O
sentence 22,bệnh_nhân,O,O
sentence 22,mới,O,O
sentence 22,(,O,O
sentence 22,từ,O,O
sentence 22,bệnh_nhân,O,O
sentence 22,374,B-PATIENT_ID,B-PATIENT_ID
sentence 22,đến,O,O
sentence 22,381,B-PATIENT_ID,B-PATIENT_ID
sentence 22,),O,O
sentence 22,",",O,O
sentence 22,Việt_Nam,B-LOCATION,B-LOCATION
sentence 22,đã,O,O
sentence 22,ghi_nhận,O,O
sentence 22,tổng_số,O,O
sentence 22,381,O,O
sentence 22,ca,O,O
sentence 22,bệnh,O,O
sentence 22,trong,O,O
sentence 22,mùa,O,O
sentence 22,dịch,O,O
sentence 22,này,O,O
sentence 22,",",O,O
sentence 22,trong,O,O
sentence 22,đó,O,O
sentence 22,có,O,O
sentence 22,353,O,O
sentence 22,người,O,O
sentence 22,đã,O,O
sentence 22,bình_phục,O,O
sentence 22,(,O,O
sentence 22,chiếm,O,O
sentence 22,gần,O,O
sentence 22,93%,O,O
sentence 22,),O,O
sentence 22,.,O,O
sentence 23,Kết_quả,O,O
sentence 23,xét_nghiệm,O,O
sentence 23,PCR,O,O
sentence 23,lần,O,O
sentence 23,thứ_bảy,O,O
sentence 23,cho,O,O
sentence 23,kết_quả,O,O
sentence 23,dương_tính,O,O
sentence 23,vào,O,O
sentence 23,ngày,O,O
sentence 23,10,B-DATE,B-DATE
sentence 23,-,I-DATE,I-DATE
sentence 23,8,I-DATE,I-DATE
sentence 23,và,O,O
sentence 23,kể,O,O
sentence 23,từ,O,O
sentence 23,khi,O,O
sentence 23,hết,O,O
sentence 23,thời_hạn,O,O
sentence 23,cách_ly,O,O
sentence 23,",",O,O
sentence 23,người,O,O
sentence 23,phụ_nữ,O,O
sentence 23,này,O,O
sentence 23,đã,O,O
sentence 23,đi,O,O
sentence 23,du_lịch,O,O
sentence 23,nhiều,O,O
sentence 23,nơi,O,O
sentence 23,ở,O,O
sentence 23,Bhutan,B-LOCATION,B-LOCATION
sentence 23,cùng,O,O
sentence 23,gia_đình,O,O
sentence 23,",",O,O
sentence 23,bạn_bè,O,O
sentence 23,và,O,O
sentence 23,thậm_chí,O,O
sentence 23,cả,O,O
sentence 23,mua_sắm,O,O
sentence 23,.,O,O
sentence 24,"""",O,O
sentence 24,Bệnh_nhân,O,O
sentence 24,20,B-PATIENT_ID,B-PATIENT_ID
sentence 24,"""",O,O
sentence 24,",",O,O
sentence 24,phụ_nữ,B-GENDER,B-GENDER
sentence 24,",",O,O
sentence 24,64,B-AGE,B-AGE
sentence 24,tuổi,O,O
sentence 24,",",O,O
sentence 24,điều_trị,O,O
sentence 24,tại,O,O
sentence 24,Hà_Nội,B-LOCATION,B-LOCATION
sentence 24,",",O,O
sentence 24,tỉnh_táo,O,O
sentence 24,",",O,O
sentence 24,không,O,O
sentence 24,sốt,O,O
sentence 24,",",O,O
sentence 24,xét_nghiệm,O,O
sentence 24,lần,O,O
sentence 24,gần,O,O
sentence 24,đây,O,O
sentence 24,nhất,O,O
sentence 24,ngày,O,O
sentence 24,15/4,B-DATE,B-DATE
sentence 24,kết_quả,O,O
sentence 24,âm_tính,O,O
sentence 24,lần,O,O
sentence 24,ba,O,O
sentence 24,.,O,O
sentence 25,Đa_phần,O,O
sentence 25,các,O,O
sentence 25,trường_hợp,O,O
sentence 25,này,O,O
sentence 25,đều,O,O
sentence 25,tự,O,O
sentence 25,đến,O,O
sentence 25,bệnh_viện,O,O
sentence 25,khi,O,O
sentence 25,phát_hiện,O,O
sentence 25,các,O,O
sentence 25,triệu_chứng,O,O
sentence 25,phổ_biến,O,O
sentence 25,của,O,O
sentence 25,COVID,O,O
sentence 25,-,O,O
sentence 25,19,O,O
sentence 25,như,O,O
sentence 25,ho,B-SYMPTOM_AND_DISEASE,B-SYMPTOM_AND_DISEASE
sentence 25,và,O,O
sentence 25,sốt,B-SYMPTOM_AND_DISEASE,B-SYMPTOM_AND_DISEASE
sentence 25,.,O,O
sentence 26,Ngày,O,O
sentence 26,18/3,B-DATE,B-DATE
sentence 26,",",O,O
sentence 26,ông,O,O
sentence 26,chưa,O,O
sentence 26,có,O,O
sentence 26,dấu_hiệu,O,O
sentence 26,bệnh,O,O
sentence 26,",",O,O
sentence 26,được,O,O
sentence 26,Trung_tâm,B-ORGANIZATION,B-ORGANIZATION
sentence 26,Y_tế,I-ORGANIZATION,I-ORGANIZATION
sentence 26,quận,I-ORGANIZATION,I-ORGANIZATION
sentence 26,8,I-ORGANIZATION,I-ORGANIZATION
sentence 26,lấy,O,O
sentence 26,mẫu,O,O
sentence 26,giám_sát,O,O
sentence 26,theo,O,O
sentence 26,nhóm,O,O
sentence 26,người,O,O
sentence 26,dự,O,O
sentence 26,thánh,O,O
sentence 26,lễ,O,O
sentence 26,Hồi_giáo,O,O
sentence 26,tại,O,O
sentence 26,Malaysia,B-LOCATION,B-LOCATION
sentence 26,.,O,O
sentence 27,Mẫu,O,O
sentence 27,bệnh_phẩm,O,O
sentence 27,gửi,O,O
sentence 27,Viện,B-ORGANIZATION,B-ORGANIZATION
sentence 27,Vệ_sinh,I-ORGANIZATION,I-ORGANIZATION
sentence 27,Dịch_tễ,I-ORGANIZATION,I-ORGANIZATION
sentence 27,Trung_ương,I-ORGANIZATION,I-ORGANIZATION
sentence 27,xét_nghiệm,O,O
sentence 27,cho,O,O
sentence 27,kết_quả,O,O
sentence 27,có,O,O
sentence 27,nCoV,O,O
sentence 27,.,O,O
sentence 28,Hơn,O,O
sentence 28,170,O,O
sentence 28,người,O,O
sentence 28,ở,O,O
sentence 28,Bắc_Ninh,B-LOCATION,B-LOCATION
sentence 28,và,O,O
sentence 28,Bắc_Giang,B-LOCATION,B-LOCATION
sentence 28,",",O,O
sentence 28,Thái_Nguyên,B-LOCATION,B-LOCATION
sentence 28,bị,O,O
sentence 28,cách_ly,O,O
sentence 28,tập_trung,O,O
sentence 28,do,O,O
sentence 28,từng,O,O
sentence 28,tiếp_xúc,O,O
sentence 28,với,O,O
sentence 28,nam,O,O
sentence 28,công_nhân,O,O
sentence 28,dương_tính,O,O
sentence 28,nCoV,O,O
sentence 28,.,O,O
sentence 29,Bệnh_nhân,O,O
sentence 29,và,O,O
sentence 29,những,O,O
sentence 29,người,O,O
sentence 29,tiếp_xúc,O,O
sentence 29,gần,O,O
sentence 29,đã,O,O
sentence 29,được,O,O
sentence 29,đưa,O,O
sentence 29,đến,O,O
sentence 29,Bệnh_viện,B-LOCATION,B-LOCATION
sentence 29,Bệnh,I-LOCATION,I-LOCATION
sentence 29,Nhiệt_đới,I-LOCATION,I-LOCATION
sentence 29,Trung_ương,I-LOCATION,I-LOCATION
sentence 29,cơ_sở,I-LOCATION,I-LOCATION
sentence 29,Đông_Anh,I-LOCATION,I-LOCATION
sentence 29,.,O,O
sentence 30,Buổi,O,O
sentence 30,chiều,O,O
sentence 30,",",O,O
sentence 30,23,O,O
sentence 30,bệnh_nhân,O,O
sentence 30,Đà_Nẵng,B-LOCATION,B-LOCATION
sentence 30,điều_trị,O,O
sentence 30,ở,O,O
sentence 30,Trung_tâm,B-LOCATION,B-LOCATION
sentence 30,Y_tế,I-LOCATION,I-LOCATION
sentence 30,Hoà_Vang,I-LOCATION,I-LOCATION
sentence 30,được,O,O
sentence 30,công_bố,O,O
sentence 30,khỏi,O,O
sentence 30,",",O,O
sentence 30,trong,O,O
sentence 30,đó,O,O
sentence 30,bốn,O,O
sentence 30,bệnh_nhân,O,O
sentence 30,505,B-PATIENT_ID,B-PATIENT_ID
sentence 30,",",O,O
sentence 30,757,B-PATIENT_ID,B-PATIENT_ID
sentence 30,",",O,O
sentence 30,766,B-PATIENT_ID,B-PATIENT_ID
sentence 30,",",O,O
sentence 30,784,B-PATIENT_ID,B-PATIENT_ID
sentence 30,đang,O,O
sentence 30,chạy,O,O
sentence 30,thận,O,O
sentence 30,nhân_tạo,O,O
sentence 30,có,O,O
sentence 30,bốn,O,O
sentence 30,lần,O,O
sentence 30,xét_nghiệm,O,O
sentence 30,âm_tính,O,O
sentence 30,và,O,O
sentence 30,được,O,O
sentence 30,chuyển,O,O
sentence 30,đến,O,O
sentence 30,Bệnh_viện,B-LOCATION,B-LOCATION
sentence 30,Da_liễu,I-LOCATION,I-LOCATION
sentence 30,Đà_Nẵng,I-LOCATION,I-LOCATION
sentence 30,để,O,O
sentence 30,tiếp_tục,O,O
sentence 30,chu_kỳ,O,O
sentence 30,chạy,O,O
sentence 30,thận,O,O
sentence 30,.,O,O
sentence 31,Bác_sĩ,O,O
sentence 31,Hùng,O,O
sentence 31,cho,O,O
sentence 31,biết,O,O
sentence 31,diễn_biến,O,O
sentence 31,bệnh,O,O
sentence 31,của,O,O
sentence 31,bệnh_nhân,O,O
sentence 31,nhanh,O,O
sentence 31,và,O,O
sentence 31,phức_tạp,O,O
sentence 31,",",O,O
sentence 31,khi,O,O
sentence 31,vào,O,O
sentence 31,viện,O,O
sentence 31,đã,O,O
sentence 31,trong,O,O
sentence 31,tình_trạng,O,O
sentence 31,nguy_kịch,O,O
sentence 31,",",O,O
